E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;3.31109724e-06;-3.18641471e-06;6.49638893e-06
-4.00000000e-03;3.29903431e-06;-3.18895874e-06;6.48186838e-06
-8.00000000e-03;3.28838507e-06;-3.19120451e-06;6.47398582e-06
-1.20000000e-02;3.27898385e-06;-3.19318708e-06;6.47521946e-06
-1.60000000e-02;3.27068429e-06;-3.19493740e-06;6.46317990e-06
-2.00000000e-02;3.26335722e-06;-3.19648274e-06;6.45751737e-06
-2.40000000e-02;3.25688868e-06;-3.19784721e-06;6.45773828e-06
-2.80000000e-02;3.25117809e-06;-3.19905210e-06;6.44340135e-06
-3.20000000e-02;3.24613672e-06;-3.20011621e-06;6.44718817e-06
-3.60000000e-02;3.24168625e-06;-3.20105618e-06;6.44020841e-06
-4.00000000e-02;3.23775758e-06;-3.20188676e-06;6.44723643e-06
-4.40000000e-02;3.23428977e-06;-3.20262102e-06;6.43843207e-06
-4.80000000e-02;3.23122910e-06;-3.20327060e-06;6.43158969e-06
-5.20000000e-02;3.22852822e-06;-3.20384591e-06;6.44236129e-06
-5.60000000e-02;3.22614546e-06;-3.20435632e-06;6.43586611e-06
-6.00000000e-02;3.22404424e-06;-3.20481033e-06;6.43420011e-06
-6.40000000e-02;3.22219246e-06;-3.20521579e-06;6.42328033e-06
-6.80000000e-02;3.22056214e-06;-3.20558006e-06;6.42291478e-06
-7.20000000e-02;3.21912901e-06;-3.20591029e-06;6.43104689e-06
-7.60000000e-02;3.21787227e-06;-3.20621359e-06;6.42967783e-06
-8.00000000e-02;3.21677437e-06;-3.20649743e-06;6.42183626e-06
-8.40000000e-02;3.21582098e-06;-3.20676993e-06;6.42815028e-06
-8.80000000e-02;3.21500099e-06;-3.20704044e-06;6.42298511e-06
-9.20000000e-02;3.21430672e-06;-3.20732012e-06;6.42644805e-06
-9.60000000e-02;3.21373428e-06;-3.20762280e-06;6.43076938e-06
-1.00000000e-01;3.21328422e-06;-3.20796616e-06;6.41542337e-06
-1.04000000e-01;3.21296241e-06;-3.20837323e-06;6.41529920e-06
-1.08000000e-01;3.21278141e-06;-3.20887448e-06;6.41956686e-06
-1.12000000e-01;3.21276238e-06;-3.20951067e-06;6.42302787e-06
-1.16000000e-01;3.21293774e-06;-3.21033664e-06;6.42389853e-06
-1.20000000e-01;3.21335483e-06;-3.21142647e-06;6.42225346e-06
-1.24000000e-01;3.21408091e-06;-3.21288040e-06;6.42971784e-06
-1.28000000e-01;3.21520993e-06;-3.21483374e-06;6.42604209e-06
-1.32000000e-01;3.21687130e-06;-3.21746808e-06;6.43220032e-06
-1.36000000e-01;3.21924085e-06;-3.22102421e-06;6.44469302e-06
-1.40000000e-01;3.22255365e-06;-3.22581603e-06;6.44712259e-06
-1.44000000e-01;3.22711759e-06;-3.23224342e-06;6.45852301e-06
