run_id;RF;Ni_pct;Cu_pct;contamination;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;status;output_dir;frequency;R_u;IR_drop_mV;K_dimensionless;swv_png;components_png;baseline_png;data_csv
1;1.0;0;0;0.0;50.0;8e-08;1.0;1770.0326;-0.24;56.0;1.1059;0.8;2206.2;0.9994;38.5;OK;001_RF1.0_Ni0_Cu0_C0;25.0;0.0;0.0;2.0;001_RF1.0_Ni0_Cu0_C0/deliverables/001_RF1.0_Ni0_Cu0_C0_SWV_curve.png;001_RF1.0_Ni0_Cu0_C0/deliverables/001_RF1.0_Ni0_Cu0_C0_components.png;001_RF1.0_Ni0_Cu0_C0/deliverables/001_RF1.0_Ni0_Cu0_C0_baseline_zoom.png;001_RF1.0_Ni0_Cu0_C0/swv_data.csv
2;1.0;0;0;0.1;50.0;7.2e-08;0.9;1434.2956;-0.24;56.0;1.1064;0.92;1555.7;0.9994;43.5;OK;002_RF1.0_Ni0_Cu0_C0;25.0;0.0;0.0;2.0;002_RF1.0_Ni0_Cu0_C0/deliverables/002_RF1.0_Ni0_Cu0_C0_SWV_curve.png;002_RF1.0_Ni0_Cu0_C0/deliverables/002_RF1.0_Ni0_Cu0_C0_components.png;002_RF1.0_Ni0_Cu0_C0/deliverables/002_RF1.0_Ni0_Cu0_C0_baseline_zoom.png;002_RF1.0_Ni0_Cu0_C0/swv_data.csv
3;1.0;0;0;0.3;50.0;5.6e-08;0.7;866.9162;-0.24;56.0;1.1063;0.92;941.2;0.9994;56.1;OK;003_RF1.0_Ni0_Cu0_C0;25.0;0.0;0.0;2.0;003_RF1.0_Ni0_Cu0_C0/deliverables/003_RF1.0_Ni0_Cu0_C0_SWV_curve.png;003_RF1.0_Ni0_Cu0_C0/deliverables/003_RF1.0_Ni0_Cu0_C0_components.png;003_RF1.0_Ni0_Cu0_C0/deliverables/003_RF1.0_Ni0_Cu0_C0_baseline_zoom.png;003_RF1.0_Ni0_Cu0_C0/swv_data.csv
4;1.0;0;2;0.0;50.0;7.84e-08;0.98;1734.2953;-0.24;56.0;1.1725;0.87;1993.7;0.9994;40.3;OK;004_RF1.0_Ni0_Cu2_C0;25.0;0.0;0.0;2.0;004_RF1.0_Ni0_Cu2_C0/deliverables/004_RF1.0_Ni0_Cu2_C0_SWV_curve.png;004_RF1.0_Ni0_Cu2_C0/deliverables/004_RF1.0_Ni0_Cu2_C0_components.png;004_RF1.0_Ni0_Cu2_C0/deliverables/004_RF1.0_Ni0_Cu2_C0_baseline_zoom.png;004_RF1.0_Ni0_Cu2_C0/swv_data.csv
5;1.0;0;2;0.1;50.0;7.04e-08;0.88;1402.1976;-0.24;56.0;1.1725;1.07;1309.6;0.9994;45.5;OK;005_RF1.0_Ni0_Cu2_C0;25.0;0.0;0.0;2.0;005_RF1.0_Ni0_Cu2_C0/deliverables/005_RF1.0_Ni0_Cu2_C0_SWV_curve.png;005_RF1.0_Ni0_Cu2_C0/deliverables/005_RF1.0_Ni0_Cu2_C0_components.png;005_RF1.0_Ni0_Cu2_C0/deliverables/005_RF1.0_Ni0_Cu2_C0_baseline_zoom.png;005_RF1.0_Ni0_Cu2_C0/swv_data.csv
6;1.0;0;2;0.3;50.0;5.44e-08;0.68;839.603;-0.24;56.0;1.1728;1.01;835.3;0.9994;58.3;OK;006_RF1.0_Ni0_Cu2_C0;25.0;0.0;0.0;2.0;006_RF1.0_Ni0_Cu2_C0/deliverables/006_RF1.0_Ni0_Cu2_C0_SWV_curve.png;006_RF1.0_Ni0_Cu2_C0/deliverables/006_RF1.0_Ni0_Cu2_C0_components.png;006_RF1.0_Ni0_Cu2_C0/deliverables/006_RF1.0_Ni0_Cu2_C0_baseline_zoom.png;006_RF1.0_Ni0_Cu2_C0/swv_data.csv
7;1.0;0;5;0.0;50.0;7.6e-08;0.95;1679.8325;-0.24;56.0;1.272;1.19;1414.2;0.9994;43.1;OK;007_RF1.0_Ni0_Cu5_C0;25.0;0.0;0.0;2.0;007_RF1.0_Ni0_Cu5_C0/deliverables/007_RF1.0_Ni0_Cu5_C0_SWV_curve.png;007_RF1.0_Ni0_Cu5_C0/deliverables/007_RF1.0_Ni0_Cu5_C0_components.png;007_RF1.0_Ni0_Cu5_C0/deliverables/007_RF1.0_Ni0_Cu5_C0_baseline_zoom.png;007_RF1.0_Ni0_Cu5_C0/swv_data.csv
8;1.0;0;5;0.1;50.0;6.8e-08;0.85;1352.9705;-0.24;56.0;1.272;1.24;1095.3;0.9994;48.5;OK;008_RF1.0_Ni0_Cu5_C0;25.0;0.0;0.0;2.0;008_RF1.0_Ni0_Cu5_C0/deliverables/008_RF1.0_Ni0_Cu5_C0_SWV_curve.png;008_RF1.0_Ni0_Cu5_C0/deliverables/008_RF1.0_Ni0_Cu5_C0_components.png;008_RF1.0_Ni0_Cu5_C0/deliverables/008_RF1.0_Ni0_Cu5_C0_baseline_zoom.png;008_RF1.0_Ni0_Cu5_C0/swv_data.csv
9;1.0;0;5;0.3;50.0;5.2e-08;0.65;803.8791;-0.24;56.0;1.2722;1.19;677.6;0.9994;61.3;OK;009_RF1.0_Ni0_Cu5_C0;25.0;0.0;0.0;2.0;009_RF1.0_Ni0_Cu5_C0/deliverables/009_RF1.0_Ni0_Cu5_C0_SWV_curve.png;009_RF1.0_Ni0_Cu5_C0/deliverables/009_RF1.0_Ni0_Cu5_C0_components.png;009_RF1.0_Ni0_Cu5_C0/deliverables/009_RF1.0_Ni0_Cu5_C0_baseline_zoom.png;009_RF1.0_Ni0_Cu5_C0/swv_data.csv
10;1.0;2;0;0.0;50.0;7.84e-08;0.98;1731.9293;-0.24;56.0;1.1524;1.3;1329.0;0.9994;40.0;OK;010_RF1.0_Ni2_Cu0_C0;25.0;0.0;0.0;2.0;010_RF1.0_Ni2_Cu0_C0/deliverables/010_RF1.0_Ni2_Cu0_C0_SWV_curve.png;010_RF1.0_Ni2_Cu0_C0/deliverables/010_RF1.0_Ni2_Cu0_C0_components.png;010_RF1.0_Ni2_Cu0_C0/deliverables/010_RF1.0_Ni2_Cu0_C0_baseline_zoom.png;010_RF1.0_Ni2_Cu0_C0/swv_data.csv
