E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.65937500e-05;-1.65937522e-05;3.31881784e-05
-4.00000000e-03;1.65937521e-05;-1.65937530e-05;3.31868302e-05
-8.00000000e-03;1.65937529e-05;-1.65937540e-05;3.31868911e-05
-1.20000000e-02;1.65937540e-05;-1.65937555e-05;3.31861850e-05
-1.60000000e-02;1.65937555e-05;-1.65937575e-05;3.31858555e-05
-2.00000000e-02;1.65937575e-05;-1.65937603e-05;3.31855780e-05
-2.40000000e-02;1.65937602e-05;-1.65937640e-05;3.31881515e-05
-2.80000000e-02;1.65937639e-05;-1.65937691e-05;3.31889325e-05
-3.20000000e-02;1.65937690e-05;-1.65937761e-05;3.31880964e-05
-3.60000000e-02;1.65937759e-05;-1.65937856e-05;3.31879184e-05
-4.00000000e-02;1.65937854e-05;-1.65937987e-05;3.31879502e-05
-4.40000000e-02;1.65937983e-05;-1.65938164e-05;3.31874577e-05
-4.80000000e-02;1.65938159e-05;-1.65938407e-05;3.31888728e-05
-5.20000000e-02;1.65938400e-05;-1.65938738e-05;3.31867436e-05
-5.60000000e-02;1.65938729e-05;-1.65939191e-05;3.31891317e-05
-6.00000000e-02;1.65939178e-05;-1.65939809e-05;3.31877026e-05
-6.40000000e-02;1.65939791e-05;-1.65940652e-05;3.31879752e-05
-6.80000000e-02;1.65940628e-05;-1.65941803e-05;3.31867118e-05
-7.20000000e-02;1.65941770e-05;-1.65943375e-05;3.31886144e-05
-7.60000000e-02;1.65943330e-05;-1.65945520e-05;3.31919742e-05
-8.00000000e-02;1.65945459e-05;-1.65948445e-05;3.31892997e-05
-8.40000000e-02;1.65948361e-05;-1.65952427e-05;3.31895788e-05
-8.80000000e-02;1.65952313e-05;-1.65957832e-05;3.31915054e-05
-9.20000000e-02;1.65957677e-05;-1.65965136e-05;3.31935193e-05
-9.60000000e-02;1.65964924e-05;-1.65974939e-05;3.31952866e-05
-1.00000000e-01;1.65974649e-05;-1.65987982e-05;3.31953887e-05
-1.04000000e-01;1.65987587e-05;-1.66005156e-05;3.31977992e-05
-1.08000000e-01;1.66004616e-05;-1.66027502e-05;3.32018897e-05
-1.12000000e-01;1.66026765e-05;-1.66056221e-05;3.32082246e-05
-1.16000000e-01;1.66055214e-05;-1.66092671e-05;3.32122735e-05
