run_id;RF;Ni_pct;Cu_pct;contamination;frequency;R_u;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;IR_drop_mV;K_dimensionless;status;output_dir;swv_png;components_png;baseline_png;data_csv
1;1.0;0;0;0;10;0;50.00;8.00e-08;1.000;798.2510;-0.2400;56.00;0.4421;0.80;994.9;0.9998;35.6;0.00;5.00;OK;001_RF1.0_Ni0_f10Hz;001_RF1.0_Ni0_f10Hz/deliverables/001_RF1.0_Ni0_f10Hz_SWV_curve.png;001_RF1.0_Ni0_f10Hz/deliverables/001_RF1.0_Ni0_f10Hz_components.png;001_RF1.0_Ni0_f10Hz/deliverables/001_RF1.0_Ni0_f10Hz_baseline_zoom.png;001_RF1.0_Ni0_f10Hz/swv_data.csv
2;1.0;0;0;0;25;0;50.00;8.00e-08;1.000;1770.2913;-0.2400;56.00;1.1064;0.92;1920.2;0.9994;38.5;0.00;2.00;OK;002_RF1.0_Ni0_f25Hz;002_RF1.0_Ni0_f25Hz/deliverables/002_RF1.0_Ni0_f25Hz_SWV_curve.png;002_RF1.0_Ni0_f25Hz/deliverables/002_RF1.0_Ni0_f25Hz_components.png;002_RF1.0_Ni0_f25Hz/deliverables/002_RF1.0_Ni0_f25Hz_baseline_zoom.png;002_RF1.0_Ni0_f25Hz/swv_data.csv
3;1.0;0;0;0;50;0;50.00;8.00e-08;1.000;2458.0922;-0.2400;56.00;2.2125;0.92;2670.2;0.9989;47.4;0.00;1.00;OK;003_RF1.0_Ni0_f50Hz;003_RF1.0_Ni0_f50Hz/deliverables/003_RF1.0_Ni0_f50Hz_SWV_curve.png;003_RF1.0_Ni0_f50Hz/deliverables/003_RF1.0_Ni0_f50Hz_components.png;003_RF1.0_Ni0_f50Hz/deliverables/003_RF1.0_Ni0_f50Hz_baseline_zoom.png;003_RF1.0_Ni0_f50Hz/swv_data.csv
4;1.0;0;0;0;100;0;50.00;8.00e-08;1.000;2792.4061;-0.2440;60.00;4.4249;0.79;3535.1;0.9981;61.3;0.00;0.50;OK;004_RF1.0_Ni0_f100Hz;004_RF1.0_Ni0_f100Hz/deliverables/004_RF1.0_Ni0_f100Hz_SWV_curve.png;004_RF1.0_Ni0_f100Hz/deliverables/004_RF1.0_Ni0_f100Hz_components.png;004_RF1.0_Ni0_f100Hz/deliverables/004_RF1.0_Ni0_f100Hz_baseline_zoom.png;004_RF1.0_Ni0_f100Hz/swv_data.csv
5;1.0;0;0;0;200;0;50.00;8.00e-08;1.000;2947.3458;-0.2440;60.00;8.8499;0.98;3002.4;0.9962;75.0;0.00;0.25;OK;005_RF1.0_Ni0_f200Hz;005_RF1.0_Ni0_f200Hz/deliverables/005_RF1.0_Ni0_f200Hz_SWV_curve.png;005_RF1.0_Ni0_f200Hz/deliverables/005_RF1.0_Ni0_f200Hz_components.png;005_RF1.0_Ni0_f200Hz/deliverables/005_RF1.0_Ni0_f200Hz_baseline_zoom.png;005_RF1.0_Ni0_f200Hz/swv_data.csv
6;1.0;0;0;0;500;0;50.00;8.00e-08;1.000;3256.4709;-0.2520;64.00;22.1252;0.90;3601.4;0.9908;87.2;0.00;0.10;OK;006_RF1.0_Ni0_f500Hz;006_RF1.0_Ni0_f500Hz/deliverables/006_RF1.0_Ni0_f500Hz_SWV_curve.png;006_RF1.0_Ni0_f500Hz/deliverables/006_RF1.0_Ni0_f500Hz_components.png;006_RF1.0_Ni0_f500Hz/deliverables/006_RF1.0_Ni0_f500Hz_baseline_zoom.png;006_RF1.0_Ni0_f500Hz/swv_data.csv
7;1.0;2;0;0;10;0;50.00;7.84e-08;0.980;778.9470;-0.2400;56.00;0.4616;1.49;523.4;0.9998;37.2;0.00;5.00;OK;007_RF1.0_Ni2_f10Hz;007_RF1.0_Ni2_f10Hz/deliverables/007_RF1.0_Ni2_f10Hz_SWV_curve.png;007_RF1.0_Ni2_f10Hz/deliverables/007_RF1.0_Ni2_f10Hz_components.png;007_RF1.0_Ni2_f10Hz/deliverables/007_RF1.0_Ni2_f10Hz_baseline_zoom.png;007_RF1.0_Ni2_f10Hz/swv_data.csv
8;1.0;2;0;0;25;0;50.00;7.84e-08;0.980;1731.5496;-0.2400;56.00;1.1519;1.71;1013.9;0.9994;39.9;0.00;2.00;OK;008_RF1.0_Ni2_f25Hz;008_RF1.0_Ni2_f25Hz/deliverables/008_RF1.0_Ni2_f25Hz_SWV_curve.png;008_RF1.0_Ni2_f25Hz/deliverables/008_RF1.0_Ni2_f25Hz_components.png;008_RF1.0_Ni2_f25Hz/deliverables/008_RF1.0_Ni2_f25Hz_baseline_zoom.png;008_RF1.0_Ni2_f25Hz/swv_data.csv
9;1.0;2;0;0;50;0;50.00;7.84e-08;0.980;2406.2752;-0.2400;56.00;2.3026;1.39;1733.8;0.9990;48.9;0.00;1.00;OK;009_RF1.0_Ni2_f50Hz;009_RF1.0_Ni2_f50Hz/deliverables/009_RF1.0_Ni2_f50Hz_SWV_curve.png;009_RF1.0_Ni2_f50Hz/deliverables/009_RF1.0_Ni2_f50Hz_components.png;009_RF1.0_Ni2_f50Hz/deliverables/009_RF1.0_Ni2_f50Hz_baseline_zoom.png;009_RF1.0_Ni2_f50Hz/swv_data.csv
10;1.0;2;0;0;100;0;50.00;7.84e-08;0.980;2732.7539;-0.2440;60.00;4.6039;1.30;2102.4;0.9981;62.8;0.00;0.50;OK;010_RF1.0_Ni2_f100Hz;010_RF1.0_Ni2_f100Hz/deliverables/010_RF1.0_Ni2_f100Hz_SWV_curve.png;010_RF1.0_Ni2_f100Hz/deliverables/010_RF1.0_Ni2_f100Hz_components.png;010_RF1.0_Ni2_f100Hz/deliverables/010_RF1.0_Ni2_f100Hz_baseline_zoom.png;010_RF1.0_Ni2_f100Hz/swv_data.csv
11;1.0;2;0;0;200;0;50.00;7.84e-08;0.980;2885.8344;-0.2440;60.00;9.2058;1.44;2007.3;0.9962;76.1;0.00;0.25;OK;011_RF1.0_Ni2_f200Hz;011_RF1.0_Ni2_f200Hz/deliverables/011_RF1.0_Ni2_f200Hz_SWV_curve.png;011_RF1.0_Ni2_f200Hz/deliverables/011_RF1.0_Ni2_f200Hz_components.png;011_RF1.0_Ni2_f200Hz/deliverables/011_RF1.0_Ni2_f200Hz_baseline_zoom.png;011_RF1.0_Ni2_f200Hz/swv_data.csv
12;1.0;2;0;0;500;0;50.00;7.84e-08;0.980;3190.5029;-0.2520;64.00;23.0116;1.58;2019.6;0.9908;87.8;0.00;0.10;OK;012_RF1.0_Ni2_f500Hz;012_RF1.0_Ni2_f500Hz/deliverables/012_RF1.0_Ni2_f500Hz_SWV_curve.png;012_RF1.0_Ni2_f500Hz/deliverables/012_RF1.0_Ni2_f500Hz_components.png;012_RF1.0_Ni2_f500Hz/deliverables/012_RF1.0_Ni2_f500Hz_baseline_zoom.png;012_RF1.0_Ni2_f500Hz/swv_data.csv
13;1.0;5;0;0;10;0;50.00;7.60e-08;0.950;751.7812;-0.2400;56.00;0.4908;2.73;275.0;0.9998;39.5;0.00;5.00;OK;013_RF1.0_Ni5_f10Hz;013_RF1.0_Ni5_f10Hz/deliverables/013_RF1.0_Ni5_f10Hz_SWV_curve.png;013_RF1.0_Ni5_f10Hz/deliverables/013_RF1.0_Ni5_f10Hz_components.png;013_RF1.0_Ni5_f10Hz/deliverables/013_RF1.0_Ni5_f10Hz_baseline_zoom.png;013_RF1.0_Ni5_f10Hz/swv_data.csv
14;1.0;5;0;0;25;0;50.00;7.60e-08;0.950;1675.1038;-0.2400;56.00;1.2211;3.28;510.4;0.9994;42.2;0.00;2.00;OK;014_RF1.0_Ni5_f25Hz;014_RF1.0_Ni5_f25Hz/deliverables/014_RF1.0_Ni5_f25Hz_SWV_curve.png;014_RF1.0_Ni5_f25Hz/deliverables/014_RF1.0_Ni5_f25Hz_components.png;014_RF1.0_Ni5_f25Hz/deliverables/014_RF1.0_Ni5_f25Hz_baseline_zoom.png;014_RF1.0_Ni5_f25Hz/swv_data.csv
