E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;7.04026677e-07;-6.55252047e-07;1.35770189e-06
-4.00000000e-03;6.99315233e-07;-6.56247049e-07;1.35501930e-06
-8.00000000e-03;6.95154339e-07;-6.57125589e-07;1.35349737e-06
-1.20000000e-02;6.91479827e-07;-6.57901299e-07;1.34750428e-06
-1.60000000e-02;6.88234943e-07;-6.58586219e-07;1.34490732e-06
-2.00000000e-02;6.85369536e-07;-6.59190983e-07;1.34617119e-06
-2.40000000e-02;6.82839296e-07;-6.59724983e-07;1.34433453e-06
-2.80000000e-02;6.80605078e-07;-6.60196518e-07;1.34341676e-06
-3.20000000e-02;6.78632305e-07;-6.60612921e-07;1.33897992e-06
-3.60000000e-02;6.76890437e-07;-6.60980673e-07;1.33929274e-06
-4.00000000e-02;6.75352506e-07;-6.61305511e-07;1.33746146e-06
-4.40000000e-02;6.73994704e-07;-6.61592510e-07;1.33594392e-06
-4.80000000e-02;6.72796014e-07;-6.61846173e-07;1.33585912e-06
-5.20000000e-02;6.71737898e-07;-6.62070503e-07;1.33426168e-06
-5.60000000e-02;6.70804006e-07;-6.62269070e-07;1.33577015e-06
-6.00000000e-02;6.69979939e-07;-6.62445073e-07;1.33348355e-06
-6.40000000e-02;6.69253028e-07;-6.62601407e-07;1.33113073e-06
-6.80000000e-02;6.68612152e-07;-6.62740720e-07;1.33258150e-06
-7.20000000e-02;6.68047583e-07;-6.62865473e-07;1.33231948e-06
-7.60000000e-02;6.67550857e-07;-6.62978013e-07;1.32781505e-06
-8.00000000e-02;6.67114666e-07;-6.63080645e-07;1.33069341e-06
-8.40000000e-02;6.66732794e-07;-6.63175723e-07;1.32988630e-06
-8.80000000e-02;6.66400068e-07;-6.63265765e-07;1.32967178e-06
-9.20000000e-02;6.66112351e-07;-6.63353586e-07;1.32778420e-06
-9.60000000e-02;6.65866585e-07;-6.63442486e-07;1.32742841e-06
-1.00000000e-01;6.65660875e-07;-6.63536489e-07;1.33116405e-06
-1.04000000e-01;6.65494648e-07;-6.63640663e-07;1.33127813e-06
-1.08000000e-01;6.65368904e-07;-6.63761546e-07;1.33144540e-06
-1.12000000e-01;6.65286572e-07;-6.63907734e-07;1.32808115e-06
-1.16000000e-01;6.65253042e-07;-6.64090658e-07;1.32790159e-06
-1.20000000e-01;6.65276883e-07;-6.64325656e-07;1.32925112e-06
-1.24000000e-01;6.65370866e-07;-6.64633411e-07;1.33082471e-06
-1.28000000e-01;6.65553354e-07;-6.65041908e-07;1.33202491e-06
-1.32000000e-01;6.65850208e-07;-6.65589084e-07;1.33223080e-06
-1.36000000e-01;6.66297388e-07;-6.66326399e-07;1.33318991e-06
-1.40000000e-01;6.66944469e-07;-6.67323641e-07;1.33425691e-06
-1.44000000e-01;6.67859382e-07;-6.68675345e-07;1.33580449e-06
-1.48000000e-01;6.69134764e-07;-6.70509289e-07;1.34088534e-06
-1.52000000e-01;6.70896360e-07;-6.72997519e-07;1.34185461e-06
-1.56000000e-01;6.73313934e-07;-6.76370196e-07;1.35222537e-06
-1.60000000e-01;6.76614963e-07;-6.80931973e-07;1.35683208e-06
-1.64000000e-01;6.81100822e-07;-6.87077400e-07;1.36524961e-06
-1.68000000e-01;6.87161913e-07;-6.95312996e-07;1.38311793e-06
-1.72000000e-01;6.95299377e-07;-7.06256816e-07;1.40197908e-06
-1.76000000e-01;7.06124170e-07;-7.20638615e-07;1.42831999e-06
-1.80000000e-01;7.20356557e-07;-7.39274908e-07;1.46092093e-06
-1.84000000e-01;7.38800257e-07;-7.63023111e-07;1.50142514e-06
-1.88000000e-01;7.62295337e-07;-7.92713921e-07;1.55641354e-06
-1.92000000e-01;7.91648850e-07;-8.29065768e-07;1.61979128e-06
-1.96000000e-01;8.27546669e-07;-8.72587368e-07;1.70052604e-06
-2.00000000e-01;8.70451439e-07;-9.23474429e-07;1.79177310e-06
-2.04000000e-01;9.20490264e-07;-9.81504376e-07;1.90096181e-06
-2.08000000e-01;9.77333410e-07;-1.04593027e-06;2.02302191e-06
-2.12000000e-01;1.04005464e-06;-1.11536555e-06;2.15386150e-06
-2.16000000e-01;1.10699474e-06;-1.18767505e-06;2.29638172e-06
-2.20000000e-01;1.17563615e-06;-1.25987878e-06;2.43942236e-06
-2.24000000e-01;1.24256507e-06;-1.32815002e-06;2.57027133e-06
-2.28000000e-01;1.30361001e-06;-1.38790381e-06;2.69078525e-06
-2.32000000e-01;1.35413452e-06;-1.43435566e-06;2.78597249e-06
-2.36000000e-01;1.38976464e-06;-1.46310016e-06;2.85301823e-06
-2.40000000e-01;1.40700695e-06;-1.47106310e-06;2.87758771e-06
-2.44000000e-01;1.40402409e-06;-1.45724948e-06;2.86132489e-06
-2.48000000e-01;1.38105691e-06;-1.42304734e-06;2.80218725e-06
-2.52000000e-01;1.34039603e-06;-1.37194513e-06;2.71151939e-06
-2.56000000e-01;1.28591790e-06;-1.30864698e-06;2.59410253e-06
-2.60000000e-01;1.22225177e-06;-1.23816615e-06;2.46269632e-06
-2.64000000e-01;1.15403386e-06;-1.16504385e-06;2.31749140e-06
-2.68000000e-01;1.08531371e-06;-1.09295813e-06;2.17896336e-06
-2.72000000e-01;1.01926329e-06;-1.02464180e-06;2.04434888e-06
-2.76000000e-01;9.58125539e-07;-9.61966995e-07;1.91953350e-06
-2.80000000e-01;9.03303093e-07;-9.06077880e-07;1.80798998e-06
-2.84000000e-01;8.55500804e-07;-8.57517783e-07;1.71408227e-06
-2.88000000e-01;8.14872652e-07;-8.16342769e-07;1.63067620e-06
-2.92000000e-01;7.81155983e-07;-7.82228498e-07;1.56525371e-06
-2.96000000e-01;7.53792421e-07;-7.54575086e-07;1.51105653e-06
-3.00000000e-01;7.32037732e-07;-7.32608945e-07;1.46257570e-06
-3.04000000e-01;7.15059778e-07;-7.15476696e-07;1.43077258e-06
-3.08000000e-01;7.02020550e-07;-7.02324856e-07;1.40361569e-06
-3.12000000e-01;6.92137863e-07;-6.92359958e-07;1.38214946e-06
-3.16000000e-01;6.84724377e-07;-6.84886439e-07;1.36792758e-06
-3.20000000e-01;6.79204040e-07;-6.79322257e-07;1.35941044e-06
-3.24000000e-01;6.75116971e-07;-6.75203160e-07;1.35273797e-06
-3.28000000e-01;6.72100616e-07;-6.72163411e-07;1.34469675e-06
-3.32000000e-01;6.69879598e-07;-6.69925306e-07;1.34170109e-06
-3.36000000e-01;6.68246702e-07;-6.68279934e-07;1.33741036e-06
-3.40000000e-01;6.67047445e-07;-6.67071571e-07;1.33598983e-06
-3.44000000e-01;6.66167314e-07;-6.66184796e-07;1.33102125e-06
-3.48000000e-01;6.65521728e-07;-6.65534368e-07;1.32921960e-06
-3.52000000e-01;6.65048365e-07;-6.65057478e-07;1.33096259e-06
-3.56000000e-01;6.64701377e-07;-6.64707923e-07;1.32729942e-06
-3.60000000e-01;6.64447076e-07;-6.64451758e-07;1.32669394e-06
-3.64000000e-01;6.64260730e-07;-6.64264060e-07;1.32782731e-06
-3.68000000e-01;6.64124194e-07;-6.64126545e-07;1.32937322e-06
-3.72000000e-01;6.64024160e-07;-6.64025804e-07;1.32736824e-06
-3.76000000e-01;6.63950873e-07;-6.63952009e-07;1.32812857e-06
-3.80000000e-01;6.63897182e-07;-6.63897954e-07;1.32674151e-06
-3.84000000e-01;6.63857849e-07;-6.63858360e-07;1.33052782e-06
-3.88000000e-01;6.63829032e-07;-6.63829360e-07;1.32703397e-06
-3.92000000e-01;6.63807921e-07;-6.63808119e-07;1.32757202e-06
-3.96000000e-01;6.63792454e-07;-6.63792563e-07;1.32738867e-06
-4.00000000e-01;6.63781122e-07;-6.63781169e-07;1.33014913e-06
-4.04000000e-01;6.63772818e-07;-6.63772824e-07;1.32948455e-06
-4.08000000e-01;6.63766734e-07;-6.63766713e-07;1.32865746e-06
-4.12000000e-01;6.63762275e-07;-6.63762237e-07;1.32665312e-06
-4.16000000e-01;6.63759007e-07;-6.63758959e-07;1.32866508e-06
-4.20000000e-01;6.63756611e-07;-6.63756559e-07;1.33074217e-06
-4.24000000e-01;6.63754855e-07;-6.63754801e-07;1.32815107e-06
-4.28000000e-01;6.63753567e-07;-6.63753514e-07;1.32532558e-06
-4.32000000e-01;6.63752622e-07;-6.63752572e-07;1.32851855e-06
-4.36000000e-01;6.63751929e-07;-6.63751882e-07;1.32763511e-06
-4.40000000e-01;6.63751421e-07;-6.63751377e-07;1.32787689e-06
-4.44000000e-01;6.63751048e-07;-6.63751007e-07;1.32852298e-06
-4.48000000e-01;6.63750773e-07;-6.63750736e-07;1.32597690e-06
-4.52000000e-01;6.63750572e-07;-6.63750538e-07;1.32897295e-06
-4.56000000e-01;6.63750423e-07;-6.63750393e-07;1.32835781e-06
-4.60000000e-01;6.63750314e-07;-6.63750287e-07;1.32983409e-06
-4.64000000e-01;6.63750234e-07;-6.63750209e-07;1.32578666e-06
-4.68000000e-01;6.63750174e-07;-6.63750153e-07;1.32714530e-06
-4.72000000e-01;6.63750131e-07;-6.63750111e-07;1.32913205e-06
-4.76000000e-01;6.63750098e-07;-6.63750081e-07;1.32830645e-06
-4.80000000e-01;6.63750074e-07;-6.63750059e-07;1.32674444e-06
-4.84000000e-01;6.63750056e-07;-6.63750043e-07;1.32830242e-06
-4.88000000e-01;6.63750043e-07;-6.63750031e-07;1.32804653e-06
-4.92000000e-01;6.63750033e-07;-6.63750022e-07;1.32713369e-06
-4.96000000e-01;6.63750025e-07;-6.63750016e-07;1.32788730e-06
