run_id;RF;Ni_pct;Cu_pct;contamination;frequency;R_u;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;IR_drop_mV;K_dimensionless;status;output_dir;swv_png;components_png;baseline_png;data_csv
1;1.0;0;0;0;25;0;50.00;8.00e-08;1.000;1770.0326;-0.2400;56.00;1.1059;0.80;2206.2;0.9994;38.5;0.00;2.00;OK;001_RF1.0_Ni0_Ru0;001_RF1.0_Ni0_Ru0/deliverables/001_RF1.0_Ni0_Ru0_SWV_curve.png;001_RF1.0_Ni0_Ru0/deliverables/001_RF1.0_Ni0_Ru0_components.png;001_RF1.0_Ni0_Ru0/deliverables/001_RF1.0_Ni0_Ru0_baseline_zoom.png;001_RF1.0_Ni0_Ru0/swv_data.csv
2;1.0;0;0;0;25;50;50.00;8.00e-08;1.000;1767.7311;-0.2400;56.00;1.1064;0.92;1917.5;0.9994;38.5;0.07;2.00;OK;002_RF1.0_Ni0_Ru50;002_RF1.0_Ni0_Ru50/deliverables/002_RF1.0_Ni0_Ru50_SWV_curve.png;002_RF1.0_Ni0_Ru50/deliverables/002_RF1.0_Ni0_Ru50_components.png;002_RF1.0_Ni0_Ru50/deliverables/002_RF1.0_Ni0_Ru50_baseline_zoom.png;002_RF1.0_Ni0_Ru50/swv_data.csv
3;1.0;0;0;0;25;100;50.00;8.00e-08;1.000;1763.6796;-0.2400;56.00;1.1063;0.92;1915.2;0.9994;38.5;0.14;2.00;OK;003_RF1.0_Ni0_Ru100;003_RF1.0_Ni0_Ru100/deliverables/003_RF1.0_Ni0_Ru100_SWV_curve.png;003_RF1.0_Ni0_Ru100/deliverables/003_RF1.0_Ni0_Ru100_components.png;003_RF1.0_Ni0_Ru100/deliverables/003_RF1.0_Ni0_Ru100_baseline_zoom.png;003_RF1.0_Ni0_Ru100/swv_data.csv
4;1.0;0;0;0;25;200;50.00;8.00e-08;1.000;1759.3196;-0.2400;56.00;1.1061;0.79;2225.2;0.9994;38.6;0.28;2.00;OK;004_RF1.0_Ni0_Ru200;004_RF1.0_Ni0_Ru200/deliverables/004_RF1.0_Ni0_Ru200_SWV_curve.png;004_RF1.0_Ni0_Ru200/deliverables/004_RF1.0_Ni0_Ru200_components.png;004_RF1.0_Ni0_Ru200/deliverables/004_RF1.0_Ni0_Ru200_baseline_zoom.png;004_RF1.0_Ni0_Ru200/swv_data.csv
5;1.0;0;0;0;25;500;50.00;8.00e-08;1.000;1744.3550;-0.2400;56.00;1.1062;0.97;1790.9;0.9994;38.8;0.69;2.00;OK;005_RF1.0_Ni0_Ru500;005_RF1.0_Ni0_Ru500/deliverables/005_RF1.0_Ni0_Ru500_SWV_curve.png;005_RF1.0_Ni0_Ru500/deliverables/005_RF1.0_Ni0_Ru500_components.png;005_RF1.0_Ni0_Ru500/deliverables/005_RF1.0_Ni0_Ru500_baseline_zoom.png;005_RF1.0_Ni0_Ru500/swv_data.csv
6;1.0;0;0;0;25;1000;50.00;8.00e-08;1.000;1715.5901;-0.2400;56.00;1.1064;0.91;1878.4;0.9994;39.2;1.38;2.00;OK;006_RF1.0_Ni0_Ru1000;006_RF1.0_Ni0_Ru1000/deliverables/006_RF1.0_Ni0_Ru1000_SWV_curve.png;006_RF1.0_Ni0_Ru1000/deliverables/006_RF1.0_Ni0_Ru1000_components.png;006_RF1.0_Ni0_Ru1000/deliverables/006_RF1.0_Ni0_Ru1000_baseline_zoom.png;006_RF1.0_Ni0_Ru1000/swv_data.csv
7;1.0;5;0;0;25;0;50.00;7.60e-08;0.950;1675.8074;-0.2400;56.00;1.2206;2.95;567.6;0.9994;42.1;0.00;2.00;OK;007_RF1.0_Ni5_Ru0;007_RF1.0_Ni5_Ru0/deliverables/007_RF1.0_Ni5_Ru0_SWV_curve.png;007_RF1.0_Ni5_Ru0/deliverables/007_RF1.0_Ni5_Ru0_components.png;007_RF1.0_Ni5_Ru0/deliverables/007_RF1.0_Ni5_Ru0_baseline_zoom.png;007_RF1.0_Ni5_Ru0/swv_data.csv
8;1.0;5;0;0;25;50;50.00;7.60e-08;0.950;1673.8049;-0.2400;56.00;1.2206;3.25;515.0;0.9994;42.2;0.07;2.00;OK;008_RF1.0_Ni5_Ru50;008_RF1.0_Ni5_Ru50/deliverables/008_RF1.0_Ni5_Ru50_SWV_curve.png;008_RF1.0_Ni5_Ru50/deliverables/008_RF1.0_Ni5_Ru50_components.png;008_RF1.0_Ni5_Ru50/deliverables/008_RF1.0_Ni5_Ru50_baseline_zoom.png;008_RF1.0_Ni5_Ru50/swv_data.csv
9;1.0;5;0;0;25;100;50.00;7.60e-08;0.950;1670.6228;-0.2400;56.00;1.2208;2.81;595.1;0.9994;42.2;0.14;2.00;OK;009_RF1.0_Ni5_Ru100;009_RF1.0_Ni5_Ru100/deliverables/009_RF1.0_Ni5_Ru100_SWV_curve.png;009_RF1.0_Ni5_Ru100/deliverables/009_RF1.0_Ni5_Ru100_components.png;009_RF1.0_Ni5_Ru100/deliverables/009_RF1.0_Ni5_Ru100_baseline_zoom.png;009_RF1.0_Ni5_Ru100/swv_data.csv
10;1.0;5;0;0;25;200;50.00;7.60e-08;0.950;1667.3540;-0.2400;56.00;1.2212;2.78;600.8;0.9994;42.3;0.28;2.00;OK;010_RF1.0_Ni5_Ru200;010_RF1.0_Ni5_Ru200/deliverables/010_RF1.0_Ni5_Ru200_SWV_curve.png;010_RF1.0_Ni5_Ru200/deliverables/010_RF1.0_Ni5_Ru200_components.png;010_RF1.0_Ni5_Ru200/deliverables/010_RF1.0_Ni5_Ru200_baseline_zoom.png;010_RF1.0_Ni5_Ru200/swv_data.csv
11;1.0;5;0;0;25;500;50.00;7.60e-08;0.950;1653.6873;-0.2400;56.00;1.2210;2.85;580.7;0.9994;42.5;0.70;2.00;OK;011_RF1.0_Ni5_Ru500;011_RF1.0_Ni5_Ru500/deliverables/011_RF1.0_Ni5_Ru500_SWV_curve.png;011_RF1.0_Ni5_Ru500/deliverables/011_RF1.0_Ni5_Ru500_components.png;011_RF1.0_Ni5_Ru500/deliverables/011_RF1.0_Ni5_Ru500_baseline_zoom.png;011_RF1.0_Ni5_Ru500/swv_data.csv
12;1.0;5;0;0;25;1000;50.00;7.60e-08;0.950;1629.4239;-0.2400;56.00;1.2208;3.06;532.3;0.9994;42.8;1.39;2.00;OK;012_RF1.0_Ni5_Ru1000;012_RF1.0_Ni5_Ru1000/deliverables/012_RF1.0_Ni5_Ru1000_SWV_curve.png;012_RF1.0_Ni5_Ru1000/deliverables/012_RF1.0_Ni5_Ru1000_components.png;012_RF1.0_Ni5_Ru1000/deliverables/012_RF1.0_Ni5_Ru1000_baseline_zoom.png;012_RF1.0_Ni5_Ru1000/swv_data.csv
13;1.0;10;0;0;25;0;50.00;7.20e-08;0.900;1582.3311;-0.2400;56.00;1.3355;5.31;298.0;0.9994;45.8;0.00;2.00;OK;013_RF1.0_Ni10_Ru0;013_RF1.0_Ni10_Ru0/deliverables/013_RF1.0_Ni10_Ru0_SWV_curve.png;013_RF1.0_Ni10_Ru0/deliverables/013_RF1.0_Ni10_Ru0_components.png;013_RF1.0_Ni10_Ru0/deliverables/013_RF1.0_Ni10_Ru0_baseline_zoom.png;013_RF1.0_Ni10_Ru0/swv_data.csv
14;1.0;10;0;0;25;50;50.00;7.20e-08;0.900;1580.4445;-0.2400;56.00;1.3357;6.03;261.9;0.9994;45.8;0.07;2.00;OK;014_RF1.0_Ni10_Ru50;014_RF1.0_Ni10_Ru50/deliverables/014_RF1.0_Ni10_Ru50_SWV_curve.png;014_RF1.0_Ni10_Ru50/deliverables/014_RF1.0_Ni10_Ru50_components.png;014_RF1.0_Ni10_Ru50/deliverables/014_RF1.0_Ni10_Ru50_baseline_zoom.png;014_RF1.0_Ni10_Ru50/swv_data.csv
15;1.0;10;0;0;25;100;50.00;7.20e-08;0.900;1580.0101;-0.2400;56.00;1.3354;5.98;264.3;0.9994;45.8;0.14;2.00;OK;015_RF1.0_Ni10_Ru100;015_RF1.0_Ni10_Ru100/deliverables/015_RF1.0_Ni10_Ru100_SWV_curve.png;015_RF1.0_Ni10_Ru100/deliverables/015_RF1.0_Ni10_Ru100_components.png;015_RF1.0_Ni10_Ru100/deliverables/015_RF1.0_Ni10_Ru100_baseline_zoom.png;015_RF1.0_Ni10_Ru100/swv_data.csv
16;1.0;10;0;0;25;200;50.00;7.20e-08;0.900;1578.3832;-0.2400;56.00;1.3350;5.44;290.0;0.9994;45.8;0.28;2.00;OK;016_RF1.0_Ni10_Ru200;016_RF1.0_Ni10_Ru200/deliverables/016_RF1.0_Ni10_Ru200_SWV_curve.png;016_RF1.0_Ni10_Ru200/deliverables/016_RF1.0_Ni10_Ru200_components.png;016_RF1.0_Ni10_Ru200/deliverables/016_RF1.0_Ni10_Ru200_baseline_zoom.png;016_RF1.0_Ni10_Ru200/swv_data.csv
17;1.0;10;0;0;25;500;50.00;7.20e-08;0.900;1564.0185;-0.2400;56.00;1.3353;5.58;280.1;0.9994;46.1;0.71;2.00;OK;017_RF1.0_Ni10_Ru500;017_RF1.0_Ni10_Ru500/deliverables/017_RF1.0_Ni10_Ru500_SWV_curve.png;017_RF1.0_Ni10_Ru500/deliverables/017_RF1.0_Ni10_Ru500_components.png;017_RF1.0_Ni10_Ru500/deliverables/017_RF1.0_Ni10_Ru500_baseline_zoom.png;017_RF1.0_Ni10_Ru500/swv_data.csv
18;1.0;10;0;0;25;1000;50.00;7.20e-08;0.900;1541.7332;-0.2400;56.00;1.3356;4.93;312.5;0.9994;46.4;1.41;2.00;OK;018_RF1.0_Ni10_Ru1000;018_RF1.0_Ni10_Ru1000/deliverables/018_RF1.0_Ni10_Ru1000_SWV_curve.png;018_RF1.0_Ni10_Ru1000/deliverables/018_RF1.0_Ni10_Ru1000_components.png;018_RF1.0_Ni10_Ru1000/deliverables/018_RF1.0_Ni10_Ru1000_baseline_zoom.png;018_RF1.0_Ni10_Ru1000/swv_data.csv
19;2.0;0;0;0;25;0;37.04;8.00e-08;1.000;3124.1475;-0.2400;56.00;2.2125;1.79;1746.2;0.9992;41.5;0.00;1.48;OK;019_RF2.0_Ni0_Ru0;019_RF2.0_Ni0_Ru0/deliverables/019_RF2.0_Ni0_Ru0_SWV_curve.png;019_RF2.0_Ni0_Ru0/deliverables/019_RF2.0_Ni0_Ru0_components.png;019_RF2.0_Ni0_Ru0/deliverables/019_RF2.0_Ni0_Ru0_baseline_zoom.png;019_RF2.0_Ni0_Ru0/swv_data.csv
20;2.0;0;0;0;25;50;37.04;8.00e-08;1.000;3116.6880;-0.2400;56.00;2.2119;1.08;2883.0;0.9992;41.5;0.13;1.48;OK;020_RF2.0_Ni0_Ru50;020_RF2.0_Ni0_Ru50/deliverables/020_RF2.0_Ni0_Ru50_SWV_curve.png;020_RF2.0_Ni0_Ru50/deliverables/020_RF2.0_Ni0_Ru50_components.png;020_RF2.0_Ni0_Ru50/deliverables/020_RF2.0_Ni0_Ru50_baseline_zoom.png;020_RF2.0_Ni0_Ru50/swv_data.csv
21;2.0;0;0;0;25;100;37.04;8.00e-08;1.000;3105.1759;-0.2400;56.00;2.2127;1.57;1973.3;0.9992;41.6;0.26;1.48;OK;021_RF2.0_Ni0_Ru100;021_RF2.0_Ni0_Ru100/deliverables/021_RF2.0_Ni0_Ru100_SWV_curve.png;021_RF2.0_Ni0_Ru100/deliverables/021_RF2.0_Ni0_Ru100_components.png;021_RF2.0_Ni0_Ru100/deliverables/021_RF2.0_Ni0_Ru100_baseline_zoom.png;021_RF2.0_Ni0_Ru100/swv_data.csv
22;2.0;0;0;0;25;200;37.04;8.00e-08;1.000;3086.9866;-0.2400;56.00;2.2125;1.48;2087.5;0.9992;41.7;0.51;1.48;OK;022_RF2.0_Ni0_Ru200;022_RF2.0_Ni0_Ru200/deliverables/022_RF2.0_Ni0_Ru200_SWV_curve.png;022_RF2.0_Ni0_Ru200/deliverables/022_RF2.0_Ni0_Ru200_components.png;022_RF2.0_Ni0_Ru200/deliverables/022_RF2.0_Ni0_Ru200_baseline_zoom.png;022_RF2.0_Ni0_Ru200/swv_data.csv
23;2.0;0;0;0;25;500;37.04;8.00e-08;1.000;3031.7035;-0.2400;56.00;2.2125;1.38;2203.7;0.9992;42.2;1.27;1.48;OK;023_RF2.0_Ni0_Ru500;023_RF2.0_Ni0_Ru500/deliverables/023_RF2.0_Ni0_Ru500_SWV_curve.png;023_RF2.0_Ni0_Ru500/deliverables/023_RF2.0_Ni0_Ru500_components.png;023_RF2.0_Ni0_Ru500/deliverables/023_RF2.0_Ni0_Ru500_baseline_zoom.png;023_RF2.0_Ni0_Ru500/swv_data.csv
24;2.0;0;0;0;25;1000;37.04;8.00e-08;1.000;2948.2567;-0.2400;56.00;2.2123;1.26;2340.0;0.9993;42.9;2.50;1.48;OK;024_RF2.0_Ni0_Ru1000;024_RF2.0_Ni0_Ru1000/deliverables/024_RF2.0_Ni0_Ru1000_SWV_curve.png;024_RF2.0_Ni0_Ru1000/deliverables/024_RF2.0_Ni0_Ru1000_components.png;024_RF2.0_Ni0_Ru1000/deliverables/024_RF2.0_Ni0_Ru1000_baseline_zoom.png;024_RF2.0_Ni0_Ru1000/swv_data.csv
25;2.0;5;0;0;25;0;37.04;7.60e-08;0.950;2960.7967;-0.2400;56.00;2.4419;6.01;492.8;0.9992;45.2;0.00;1.48;OK;025_RF2.0_Ni5_Ru0;025_RF2.0_Ni5_Ru0/deliverables/025_RF2.0_Ni5_Ru0_SWV_curve.png;025_RF2.0_Ni5_Ru0/deliverables/025_RF2.0_Ni5_Ru0_components.png;025_RF2.0_Ni5_Ru0/deliverables/025_RF2.0_Ni5_Ru0_baseline_zoom.png;025_RF2.0_Ni5_Ru0/swv_data.csv
26;2.0;5;0;0;25;50;37.04;7.60e-08;0.950;2948.7419;-0.2400;56.00;2.4419;6.27;470.2;0.9992;45.3;0.13;1.48;OK;026_RF2.0_Ni5_Ru50;026_RF2.0_Ni5_Ru50/deliverables/026_RF2.0_Ni5_Ru50_SWV_curve.png;026_RF2.0_Ni5_Ru50/deliverables/026_RF2.0_Ni5_Ru50_components.png;026_RF2.0_Ni5_Ru50/deliverables/026_RF2.0_Ni5_Ru50_baseline_zoom.png;026_RF2.0_Ni5_Ru50/swv_data.csv
27;2.0;5;0;0;25;100;37.04;7.60e-08;0.950;2946.6028;-0.2400;56.00;2.4416;5.96;494.7;0.9992;45.3;0.26;1.48;OK;027_RF2.0_Ni5_Ru100;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_SWV_curve.png;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_components.png;027_RF2.0_Ni5_Ru100/deliverables/027_RF2.0_Ni5_Ru100_baseline_zoom.png;027_RF2.0_Ni5_Ru100/swv_data.csv
28;2.0;5;0;0;25;200;37.04;7.60e-08;0.950;2925.2085;-0.2400;56.00;2.4414;5.56;526.4;0.9992;45.5;0.52;1.48;OK;028_RF2.0_Ni5_Ru200;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_SWV_curve.png;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_components.png;028_RF2.0_Ni5_Ru200/deliverables/028_RF2.0_Ni5_Ru200_baseline_zoom.png;028_RF2.0_Ni5_Ru200/swv_data.csv
29;2.0;5;0;0;25;500;37.04;7.60e-08;0.950;2876.0638;-0.2400;56.00;2.4418;5.66;508.2;0.9993;45.9;1.29;1.48;OK;029_RF2.0_Ni5_Ru500;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_SWV_curve.png;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_components.png;029_RF2.0_Ni5_Ru500/deliverables/029_RF2.0_Ni5_Ru500_baseline_zoom.png;029_RF2.0_Ni5_Ru500/swv_data.csv
30;2.0;5;0;0;25;1000;37.04;7.60e-08;0.950;2799.3128;-0.2400;56.00;2.4406;5.23;534.8;0.9993;46.6;2.54;1.48;OK;030_RF2.0_Ni5_Ru1000;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_SWV_curve.png;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_components.png;030_RF2.0_Ni5_Ru1000/deliverables/030_RF2.0_Ni5_Ru1000_baseline_zoom.png;030_RF2.0_Ni5_Ru1000/swv_data.csv
31;2.0;10;0;0;25;0;37.04;7.20e-08;0.900;2794.7073;-0.2400;56.00;2.6706;11.20;249.4;0.9992;48.9;0.00;1.48;OK;031_RF2.0_Ni10_Ru0;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_SWV_curve.png;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_components.png;031_RF2.0_Ni10_Ru0/deliverables/031_RF2.0_Ni10_Ru0_baseline_zoom.png;031_RF2.0_Ni10_Ru0/swv_data.csv
32;2.0;10;0;0;25;50;37.04;7.20e-08;0.900;2791.0642;-0.2400;56.00;2.6710;10.86;256.9;0.9992;48.9;0.13;1.48;OK;032_RF2.0_Ni10_Ru50;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_SWV_curve.png;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_components.png;032_RF2.0_Ni10_Ru50/deliverables/032_RF2.0_Ni10_Ru50_baseline_zoom.png;032_RF2.0_Ni10_Ru50/swv_data.csv
33;2.0;10;0;0;25;100;37.04;7.20e-08;0.900;2777.4121;-0.2400;56.00;2.6706;10.95;253.6;0.9992;49.0;0.27;1.48;OK;033_RF2.0_Ni10_Ru100;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_SWV_curve.png;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_components.png;033_RF2.0_Ni10_Ru100/deliverables/033_RF2.0_Ni10_Ru100_baseline_zoom.png;033_RF2.0_Ni10_Ru100/swv_data.csv
